python-autocommand 2.2.2-4
python-cairo 1.26.0-1
python-fastjsonschema 2.19.1-1
python-gobject 3.46.0-1
python-i3ipc 2.2.1-4
python-inflect 7.0.0-3
python-jaraco.context 4.3.0-3
python-jaraco.functools 4.0.0-1
python-jaraco.text 3.12.0-1
python-more-itertools 10.2.0-1
python-ordered-set 4.1.0-4
python-packaging 23.2-1
python-pexpect 4.9.0-1
python-pillow 10.2.0-2
python-platformdirs 4.2.0-1
python-ptyprocess 0.7.0-5
python-pydantic 2.6.4-1
python-pydantic-core 1:2.16.3-1
python-send2trash 1.8.2-1
python-setproctitle 1.3.3-1
python-setuptools 1:69.0.3-4
python-six 1.16.0-8
python-tomli 2.0.1-3
python-trove-classifiers 2024.3.3-1
python-typing_extensions 4.10.0-1
python-validate-pyproject 0.13-1
python-xlib 0.33-2
qrencode 4.1.1-2
qt5-base 5.15.13+kde+r138-1
qt5-declarative 5.15.13+kde+r30-1
qt5-svg 5.15.13+kde+r6-1
qt5-translations 5.15.13-1
qt5-wayland 5.15.13+kde+r60-1
qt5-x11extras 5.15.13-1
qt6-base 6.6.2-4
qt6-declarative 6.6.2-1
qt6-svg 6.6.2-1
qt6-translations 6.6.2-1
qt6-wayland 6.6.2-1
raptor 2.0.16-4
rate-mirrors 0.17.1-1
rav1e 0.7.1-1
readline 8.2.010-1
realtime-privileges 4-2
reflector 2023-1
reflector-simple 3.3-1
reiserfsprogs 3.6.27-4
rp-pppoe 4.0-1
rpcbind 1.2.6-4
rsync 3.2.7-6
rtkit 0.13-2
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 3.3.0-1
sbc 2.0-1
sdl2 2.30.1-1
seatd 0.8.0-1
sed 4.9-3
serd 0.32.2-1
serf 1.3.10-1
shaderc 2023.8-1
shadow 4.15.0-1
shared-mime-info 2.4-1
slang 2.3.3-2
slurp 1.5.0-1
smbclient 4.19.5-1
snap-pac 3.0.1-2
snapper 0.10.7-1
snapper-support 1.1.2-3
snapper-tools 1.1.3-1.2
snappy 1.1.10-1
sndio 1.9.0-1
sof-firmware 2023.12.1-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
spdlog 1.13.0-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.6-1
sqlite 3.45.2-1
sratom 0.6.16-1
srt 1.5.3-1
sshfs 3.7.3-1
sstp-client 1:1.0.19-1
starship 1.17.1-2
startup-notification 0.12-8
stoken 0.92-4
strongswan 5.9.13-1
subversion 1.14.2-13
