pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.0-1
perl 5.38.0-1
perl-clone 0.46-2
perl-encode-locale 1.05-11
perl-error 0.17029-5
perl-file-basedir 0.09-3
perl-file-desktopentry 0.22-11
perl-file-listing 6.16-2
perl-file-mimeinfo 0.33-2
perl-html-parser 3.81-2
perl-html-tagset 3.20-14
perl-http-cookies 6.10-4
perl-http-daemon 6.16-2
perl-http-date 6.06-1
perl-http-message 6.44-2
perl-http-negotiate 6.01-12
perl-io-html 1.004-4
perl-ipc-system-simple 1.30-5
perl-libwww 6.67-2
perl-lwp-mediatypes 6.04-4
perl-mailtools 2.21-7
perl-net-http 6.23-2
perl-timedate 2.33-5
perl-try-tiny 0.31-3
perl-uri 5.20-1
perl-www-robotrules 6.02-12
perl-xml-parser 2.46-5
perl-xml-writer 0.900-2
pinentry 1.2.1-1
pipewire 1:0.3.80-1
pipewire-alsa 1:0.3.80-1
pipewire-audio 1:0.3.80-1
pipewire-jack 1:0.3.80-1
pipewire-pulse 1:0.3.80-1
pipewire-support 1-16
pipewire-v4l2 1:0.3.80-1
pipewire-x11-bell 1:0.3.80-1
pipewire-zeroconf 1:0.3.80-1
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
pkgfile 21-2
playerctl 2.4.1-3
polkit 123-1
polkit-gnome 0.105-10
polkit-qt5 0.114.0-1
poppler 23.08.0-1
poppler-data 0.4.12-1
poppler-glib 23.08.0-1
popsicle 1.3.2-1
popt 1.19-1
portaudio 1:19.7.0-2
powertop 2.15-1
ppp 2.5.0-1
pptpclient 1.10.0-3
procps-ng 4.0.4-2
profile-sync-daemon 1:6.49-1
protobuf 24.2-2
protobuf-c 1.4.1-4
psmisc 23.6-1
python 3.11.5-2
python-annotated-types 0.5.0-1
python-attrs 22.2.0-3
python-autocommand 2.2.2-4
python-automat 22.10.0-3
python-beautifulsoup4 4.12.2-1
python-cairo 1.24.0-1
python-cffi 1.15.1-4
python-chardet 5.2.0-1
python-click 8.1.7-1
python-constantly 15.1.0-13
python-cryptography 41.0.3-1
python-distro 1.8.0-3
python-fastjsonschema 2.18.0-1
python-geoip 1.3.2-14
python-gobject 3.46.0-1
python-hyperlink 21.0.0-5
python-idna 3.4-3
python-ifaddr 0.2.0-2
python-incremental 22.10.0-3
python-inflect 7.0.0-2
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.9.0-1
python-jaraco.text 3.11.1-3
python-mako 1.2.4-3
python-markdown 3.4.4-1
python-markupsafe 2.1.3-1
python-more-itertools 10.1.0-1
python-ordered-set 4.1.0-4
python-packaging 23.1-1
python-pillow 10.0.1-1
python-platformdirs 3.10.0-1
python-ply 3.11-12
python-pyasn1 0.4.8-8
python-pyasn1-modules 0.2.8-7
python-pycparser 2.21-5
python-pydantic 2.3.0-1
python-pydantic-core 1:2.6.3-1
python-pyopenssl 23.2.0-1
python-pyxdg 0.28-2
python-rencode 1.0.6-8
python-service-identity 23.1.0-1
python-setproctitle 1.3.2-2
python-setuptools 1:68.0.0-1
python-six 1.16.0-8
python-soupsieve 2.5-1
python-tomli 2.0.1-3
python-trove-classifiers 2023.9.19-1
python-twisted 22.10.0-3
python-typing_extensions 4.8.0-1
python-validate-pyproject 0.13-1
python-zope-interface 6.0-3
qrencode 4.1.1-2
qt5-base 5.15.10+kde+r158-1
qt5-declarative 5.15.10+kde+r31-1
qt5-multimedia 5.15.10+kde+r3-1
qt5-speech 5.15.10+kde+r1-1
qt5-svg 5.15.10+kde+r8-1
qt5-translations 5.15.10-1
qt5-wayland 5.15.10+kde+r58-1
qt5-x11extras 5.15.10-1
qt5ct 1.7-1
qt6-base 6.5.2-1
qt6-svg 6.5.2-1
qt6-translations 6.5.2-1
ranger 1.9.3-9
raptor 2.0.16-3
rate-mirrors 0.16.4-1
rav1e 0.6.6-1
readline 8.2.001-2
realtime-privileges 4-2
reflector 2023-1
reflector-simple 3.3-1
reiserfsprogs 3.6.27-4
rnnoise 0.4.1-1
rp-pppoe 4.0-1
rpcbind 1.2.6-3
rsync 3.2.7-4
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.3.0-1
sbc 2.0-1
sdl2 2.28.3-1
seatd 0.8.0-1
sed 4.9-3
serd 0.30.16-1
serf 1.3.9-8
shaderc 2023.4-2
shadow 4.13-3
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
slurp 1.4.0-1
smbclient 4.19.0-1
snap-pac 3.0.1-2
snapper 0.10.6-1
snapper-support 1.1.2-2.3
snapper-tools 1.1.3-1
sndio 1.9.0-1
sof-firmware 2.2.6-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
spdlog 1.12.0-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
sqlite 3.43.1-1
sratom 0.6.14-1
